Metric,Model,NO3.N,NH4.N,Available.P,Exchangeable.K,pH,EC
R2,MT,0.762±0.085,0.765±0.054,0.672±0.058,0.674±0.069,0.831±0.066,0.722±0.067
R2,MT_comp,0.752±0.075,0.741±0.078,0.683±0.067,0.690±0.081,0.827±0.062,0.714±0.059
R2,ST,0.751±0.080,0.772±0.049,0.680±0.055,0.659±0.055,0.826±0.066,0.713±0.075
R2,RF,0.749±0.070,0.600±0.115,0.632±0.089,0.668±0.050,0.811±0.057,0.719±0.071
R2,SVR,0.709±0.048,0.749±0.047,0.565±0.069,0.552±0.048,0.837±0.061,0.705±0.063
R2,XGB,0.674±0.133,0.570±0.146,0.534±0.056,0.590±0.034,0.775±0.056,0.686±0.066
MSE,MT,0.992±0.124,0.331±0.026,40.053±4.296,11.960±1.020,0.254±0.041,0.025±0.002
MSE,MT_comp,1.022±0.061,0.350±0.031,39.352±7.569,11.595±1.280,0.256±0.039,0.026±0.001
MSE,ST,1.012±0.120,0.337±0.036,40.298±8.971,12.162±0.765,0.263±0.050,0.025±0.002
MSE,RF,5.033±0.494,0.859±0.075,6833.131±385.225,815.220±44.714,4.072±0.188,0.038±0.002
MSE,SVR,3.715±0.311,0.785±0.053,3710.098±87.752,688.533±23.831,4.062±0.186,0.040±0.002
MSE,XGB,5.100±0.656,0.822±0.052,6667.282±934.124,810.309±46.435,4.069±0.180,0.038±0.002
